RowOrder,DocNo,SequenNo,ItemID,ItemName,UnitID,StockID,Price,Cost,Qty,RQty,RID,RDate,DlvDate,CQty,CID,CDate,ApID,TrackDate,DiscountText,DiscountAmt,TotalAmt,Description,AddID,AddDate,EditID,EditDate
250651,SO5644580,2,01SR09M-10M,เหล็กเส้น 09 มิล 10 เมตร ตรง,สน,01,114,NULL,100,100,02,2021-01-08 08:48:00.000,2021-01-07 00:00:00.000,0,,NULL,NULL,NULL,,0,11400,NULL,sysinsert,2021-01-07 14:08:19.270,Was,2021-01-08 08:44:10.880
250702,QT0006435,4,01SR09M-10M,เหล็กเส้น 09 มิล 10 เมตร ตรง,สน,,112,NULL,55,55,,NULL,2021-01-09 00:00:00.000,0,,NULL,,NULL,,0,6160,,sysinsert,2021-01-07 15:12:41.903,sysupdate,2021-01-07 15:12:41.903
250723,QT0006438,3,01SR09M-10M,เหล็กเส้น 09 มิล 10 เมตร ตรง มอก.,สน,,112,NULL,150,150,,NULL,2021-01-09 00:00:00.000,0,,NULL,,NULL,,0,16800,,sysinsert,2021-01-07 15:27:48.453,sysupdate,2021-01-07 15:42:55.190
250772,QT0006439,3,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ/SKY,สน,,110,NULL,1,1,,NULL,2021-01-09 00:00:00.000,0,,NULL,,NULL,,0,110,,sysinsert,2021-01-07 16:13:09.993,sysupdate,2021-01-07 16:13:09.993
250779,QT0006440,3,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ/4.99+-,สน,,110,NULL,1,1,,NULL,2021-01-09 00:00:00.000,0,,NULL,,NULL,,0,110,,sysinsert,2021-01-07 16:13:10.037,sysupdate,2021-01-07 16:13:10.037
250798,QT0006442,2,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ/2มัด,สน,,110,NULL,600,600,,NULL,2021-01-09 00:00:00.000,0,,NULL,,NULL,,0,66000,,sysinsert,2021-01-07 16:28:17.757,sysupdate,2021-01-07 16:28:17.757
250839,SO5644605,2,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ/2มัด,สน,01,110,NULL,600,600,,NULL,2021-01-07 00:00:00.000,0,,NULL,,NULL,,0,66000,,sysinsert,2021-01-07 16:43:29.537,sysupdate,2021-01-07 16:43:29.537
250956,SO5644616,2,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,01,114,NULL,10,0,,NULL,2021-01-08 00:00:00.000,0,,NULL,,NULL,,0,1140,,sysinsert,2021-01-08 08:45:38.737,sysupdate,2021-01-08 16:48:29.550
250969,SO5644620,2,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,01,110,NULL,50,50,02,2021-01-08 12:59:00.000,2021-01-08 00:00:00.000,0,,NULL,NULL,NULL,,0,5500,NULL,sysinsert,2021-01-08 09:15:44.453,Was,2021-01-08 12:55:41.010
250999,SO5644629,6,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,01,110,NULL,150,150,,NULL,2021-01-08 00:00:00.000,0,,NULL,,NULL,,0,16500,,sysinsert,2021-01-08 10:15:58.270,sysupdate,2021-01-08 14:47:26.083
251011,SO5644631,5,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,01,113,NULL,20,0,,NULL,2021-01-08 00:00:00.000,0,,NULL,,NULL,,0,2260,,sysinsert,2021-01-08 10:31:02.027,sysupdate,2021-01-08 16:48:29.987
251032,QT0006452,10,01SR09M-4P99,เหล็กเส้น09 มิล(ทอง) พับ 4.99+-มัดละ300ส,สน,,112,NULL,1,1,,NULL,2021-02-07 00:00:00.000,0,,NULL,,NULL,,0,112,,sysinsert,2021-01-08 11:01:08.313,sysupdate,2021-01-08 11:01:08.313
251048,QT0006454,1,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ10ม/4.99+-,สน,,113,NULL,90,90,,NULL,2021-02-07 00:00:00.000,0,,NULL,,NULL,,0,10170,,sysinsert,2021-01-08 11:31:16.310,sysupdate,2021-01-08 11:31:16.310
251077,QT0006455,2,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,,110,NULL,1,1,,NULL,2021-02-07 00:00:00.000,0,,NULL,,NULL,,0,110,,sysinsert,2021-01-08 12:16:30.160,sysupdate,2021-01-08 12:16:30.160
251101,SO5644658,6,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,01,115,NULL,50,50,,NULL,2021-01-08 00:00:00.000,0,,NULL,,NULL,,0,5750,,sysinsert,2021-01-08 13:47:02.533,sysupdate,2021-01-08 13:47:02.533
251103,SO5644659,1,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,01,114,NULL,1,0,,NULL,2021-01-08 00:00:00.000,0,,NULL,,NULL,,0,114,,sysinsert,2021-01-08 13:47:02.570,sysupdate,2021-01-08 16:48:30.763
251126,SO5644665,3,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ 4.99+-/3มัด,สน,01,112,NULL,900,900,,NULL,2021-01-08 00:00:00.000,0,,NULL,,NULL,,0,100800,,sysinsert,2021-01-08 14:32:20.867,sysupdate,2021-01-08 14:47:27.063
251128,QT0006460,1,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,,114,NULL,50,50,,NULL,2021-02-07 00:00:00.000,0,,NULL,,NULL,,0,5700,,sysinsert,2021-01-08 14:47:24.617,sysupdate,2021-01-08 14:47:24.617
251221,QT0006467,1,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ 4.99+-,สน,,110,NULL,1,1,,NULL,2021-02-07 00:00:00.000,0,,NULL,,NULL,,0,110,,sysinsert,2021-01-08 16:48:27.637,sysupdate,2021-01-08 16:48:27.637
